3, 7, 7, 10, 10
9, 6, 8, 6, 10
9, 6, 8, 6, 10
5, 5, 3, 11, 9
5, 8, 8, 8, 10
8, 10, 10, 11, 11
9, 4, 4, 9, 9
3, 11, 3, 7, 7
6, 10, 9, 8, 7
6, 8, 6, 10, 4
8, 10, 10, 11, 11
9, 9, 4, 11, 10
8, 8, 8, 10, 10
7, 9, 7, 11, 11
8, 8, 8, 10, 10
6, 11, 10, 9, 4
9, 9, 6, 8, 6
11, 10, 5, 8, 8
4, 9, 9, 4, 11
6, 10, 4, 4, 7
7, 10, 10, 1, 4
9, 6, 8, 6, 10
7, 7, 10, 10, 1
5, 5, 3, 11, 9
10, 4, 4, 7, 9
9, 4, 4, 9, 9
8, 10, 10, 11, 11
8, 10, 10, 11, 11
10, 11, 11, 5, 5
10, 3, 11, 3, 11
4, 11, 10, 5, 5
10, 1, 4, 4, 11
9, 7, 11, 11, 6
4, 4, 9, 9, 4
11, 3, 11, 3, 7
10, 1, 4, 4, 11
3, 11, 3, 11, 3
3, 11, 3, 11, 3
10, 3, 11, 3, 11
3, 7, 7, 10, 10
6, 11, 10, 9, 4
10, 11, 11, 5, 5
8, 7, 10, 3, 11
8, 8, 8, 10, 10
11, 11, 6, 7, 6
4, 11, 10, 5, 5
11, 3, 7, 7, 10
10, 5, 5, 11, 11
10, 4, 4, 7, 9
11, 11, 6, 7, 6
6, 7, 6, 10, 9
6, 11, 10, 9, 4
7, 9, 7, 11, 11
8, 10, 10, 11, 11
11, 6, 7, 6, 10
4, 4, 11, 10, 5
10, 1, 4, 4, 11
4, 4, 9, 9, 4
6, 7, 6, 10, 9
11, 9, 9, 6, 11
11, 9, 9, 6, 11
4, 4, 7, 9, 7
10, 3, 11, 3, 11
11, 10, 5, 8, 8
11, 11, 6, 7, 6
9, 4, 11, 10, 5
4, 7, 9, 7, 11
8, 8, 8, 10, 10
10, 5, 8, 8, 8
3, 11, 9, 9, 6
10, 10, 11, 11, 5
11, 10, 5, 8, 8
9, 6, 8, 6, 10
4, 4, 11, 10, 5
9, 7, 11, 11, 6
11, 11, 5, 5, 3
9, 6, 11, 10, 9
6, 10, 4, 4, 7
9, 7, 11, 11, 6
9, 9, 6, 8, 6
5, 5, 11, 11, 9
7, 10, 10, 1, 4
6, 10, 4, 4, 7
8, 6, 10, 4, 4
9, 4, 4, 9, 9
4, 4, 11, 10, 5
11, 6, 7, 6, 10
10, 5, 8, 8, 8
6, 8, 6, 10, 4
9, 6, 8, 6, 10
5, 3, 11, 9, 9
11, 10, 5, 8, 8
10, 5, 5, 11, 11
11, 9, 9, 6, 11
4, 4, 11, 10, 5
3, 11, 3, 11, 3
8, 8, 10, 10, 11
10, 10, 11, 11, 5
3, 11, 3, 11, 3
5, 3, 11, 9, 9
9, 4, 11, 10, 5
7, 7, 10, 10, 1
11, 5, 5, 3, 11
10, 9, 4, 4, 9
5, 5, 11, 11, 9
5, 5, 11, 11, 9
5, 5, 11, 11, 9
9, 9, 4, 11, 10
5, 8, 8, 8, 10
11, 10, 5, 5, 11
4, 11, 10, 5, 5
11, 11, 6, 7, 6
4, 11, 10, 5, 8
9, 4, 11, 10, 5
7, 9, 7, 11, 11
7, 10, 10, 1, 4
9, 4, 4, 9, 9
11, 10, 9, 4, 4
10, 4, 4, 7, 9
11, 10, 5, 8, 8
9, 4, 4, 9, 9
9, 4, 4, 9, 9
8, 7, 10, 3, 11
11, 6, 7, 6, 10
6, 10, 9, 8, 7
8, 10, 10, 11, 11
9, 6, 8, 6, 10
8, 8, 8, 10, 10
10, 9, 8, 7, 10
7, 10, 3, 11, 3
10, 10, 11, 11, 5
7, 7, 10, 10, 1
11, 11, 5, 5, 3
7, 10, 10, 1, 4
11, 9, 9, 6, 11
3, 11, 3, 7, 7
9, 4, 4, 9, 9
4, 4, 11, 10, 5
10, 11, 11, 5, 5
8, 6, 10, 4, 4
9, 4, 11, 10, 5
6, 8, 6, 10, 4
11, 10, 9, 4, 4
11, 10, 5, 8, 8
11, 11, 9, 9, 6
6, 11, 10, 9, 4
10, 9, 4, 4, 9
4, 7, 9, 7, 11
9, 6, 8, 6, 10
9, 6, 8, 6, 10
8, 6, 10, 4, 4
11, 11, 6, 7, 6
3, 11, 3, 7, 7
9, 6, 8, 6, 10
11, 3, 7, 7, 10
9, 9, 6, 11, 10
10, 4, 4, 7, 9
9, 9, 4, 11, 10
10, 9, 8, 7, 10
9, 6, 8, 6, 10
5, 8, 8, 8, 10
7, 7, 10, 10, 1
11, 10, 9, 4, 4
7, 10, 10, 1, 4
10, 9, 8, 7, 10
7, 10, 10, 1, 4
8, 8, 8, 10, 10
11, 10, 5, 5, 11
10, 9, 4, 4, 9
3, 11, 3, 7, 7
10, 10, 1, 4, 4
6, 7, 6, 10, 9
8, 7, 10, 3, 11
9, 9, 6, 11, 10
9, 6, 8, 6, 10
11, 3, 11, 3, 7
1, 4, 4, 11, 10
10, 9, 8, 7, 10
9, 9, 4, 11, 10
11, 11, 6, 7, 6
5, 5, 11, 11, 9
8, 8, 10, 10, 11
9, 9, 4, 11, 10
11, 6, 7, 6, 10
8, 7, 10, 3, 11
6, 11, 10, 9, 4
6, 10, 9, 8, 7
9, 4, 4, 9, 9
5, 8, 8, 8, 10
1, 4, 4, 11, 10
10, 9, 4, 4, 9
10, 5, 5, 11, 11
5, 11, 11, 9, 9
6, 10, 9, 8, 7
3, 7, 7, 10, 10
10, 10, 11, 11, 5
5, 5, 3, 11, 9
10, 9, 4, 4, 9
10, 9, 4, 4, 9
9, 7, 11, 11, 6
6, 11, 10, 9, 4
8, 8, 10, 10, 11
4, 4, 7, 9, 7
10, 11, 11, 5, 5
11, 10, 5, 8, 8
10, 9, 4, 4, 9
4, 9, 9, 4, 11
5, 8, 8, 8, 10
10, 4, 4, 7, 9
10, 9, 8, 7, 10
10, 5, 8, 8, 8
4, 9, 9, 4, 11
