8, 10, 10, 11, 11
3, 3, 3, 7, 7
9, 9, 6, 6, 10
10, 10, 4, 4, 9
8, 10, 10, 11, 11
9, 10, 10, 10, 11
10, 10, 11, 11, 5
11, 11, 6, 6, 6
6, 6, 6, 9, 9
6, 9, 9, 10, 10
10, 10, 4, 4, 9
11, 5, 5, 7, 7
4, 7, 7, 7, 11
10, 10, 12, 4, 4
11, 5, 5, 8, 8
11, 5, 5, 8, 8
10, 10, 11, 11, 5
8, 10, 10, 11, 11
9, 11, 11, 5, 5
4, 9, 9, 11, 11
10, 10, 10, 11, 11
3, 9, 9, 6, 6
4, 11, 11, 5, 5
5, 3, 3, 9, 9
3, 7, 7, 10, 10
10, 10, 10, 11, 11
3, 3, 9, 9, 6
9, 9, 11, 11, 5
7, 11, 11, 6, 6
3, 3, 7, 7, 10
7, 9, 9, 11, 11
11, 10, 10, 4, 4
9, 11, 11, 5, 5
