9, 10, 10, 10, 11
5, 8, 8, 10, 10
6, 10, 10, 4, 4
3, 9, 9, 6, 6
6, 9, 9, 10, 10
5, 5, 3, 3, 9
5, 3, 3, 9, 9
10, 4, 4, 7, 7
5, 7, 7, 9, 9
7, 10, 10, 1, 4
6, 6, 9, 9, 10
11, 3, 3, 3, 7
11, 11, 3, 3, 3
11, 5, 5, 7, 7
11, 11, 10, 10, 4
7, 7, 9, 9, 11
6, 9, 9, 10, 10
6, 10, 10, 4, 4
7, 9, 9, 11, 11
11, 5, 5, 3, 3
10, 10, 11, 11, 3
10, 4, 4, 7, 7
10, 11, 11, 5, 5
5, 5, 3, 3, 9
5, 5, 7, 7, 9
11, 11, 5, 5, 7
11, 11, 10, 10, 4
11, 10, 10, 4, 4
6, 6, 6, 9, 9
7, 9, 9, 11, 11
4, 4, 9, 9, 11
11, 11, 3, 3, 3
11, 10, 10, 4, 4
4, 7, 7, 7, 11
11, 11, 5, 5, 8
5, 5, 3, 3, 9
9, 9, 11, 11, 10
6, 6, 10, 10, 4
7, 9, 9, 11, 11
11, 3, 3, 3, 7
11, 11, 5, 5, 7
10, 10, 10, 11, 11
11, 11, 5, 5, 3
9, 9, 10, 10, 10
10, 4, 4, 9, 9
5, 8, 8, 10, 10
10, 10, 1, 4, 4
10, 11, 11, 3, 3
10, 10, 11, 11, 3
5, 7, 7, 9, 9
7, 11, 11, 6, 6
4, 9, 9, 11, 11
3, 3, 3, 7, 7
7, 7, 11, 11, 6
3, 7, 7, 10, 10
10, 10, 1, 4, 4
10, 11, 11, 5, 5
3, 3, 3, 7, 7
10, 1, 4, 4, 11
6, 9, 9, 10, 10
6, 6, 10, 10, 4
4, 4, 11, 11, 5
6, 6, 10, 10, 4
10, 4, 4, 9, 9
10, 11, 11, 3, 3
11, 5, 5, 3, 3
7, 10, 10, 1, 4
7, 7, 7, 11, 11
11, 10, 10, 4, 4
9, 10, 10, 10, 11
11, 11, 6, 6, 6
11, 11, 3, 3, 3
11, 5, 5, 8, 8
5, 7, 7, 9, 9
11, 11, 6, 6, 6
4, 9, 9, 11, 11
10, 10, 11, 11, 5
9, 11, 11, 5, 5
3, 3, 3, 7, 7
11, 11, 10, 10, 4
6, 10, 10, 4, 4
4, 11, 11, 5, 5
9, 9, 10, 10, 10
7, 11, 11, 6, 6
11, 6, 6, 6, 9
11, 11, 5, 5, 8
10, 4, 4, 7, 7
9, 6, 6, 10, 10
7, 10, 10, 1, 4
7, 9, 9, 11, 11
3, 9, 9, 6, 6
5, 3, 3, 9, 9
11, 11, 5, 5, 7
8, 10, 10, 11, 11
6, 10, 10, 4, 4
11, 5, 5, 8, 8
5, 8, 8, 10, 10
7, 7, 10, 10, 1
6, 6, 10, 10, 4
9, 9, 6, 6, 10
10, 4, 4, 7, 7
5, 7, 7, 9, 9
7, 7, 9, 9, 11
11, 3, 3, 3, 7
10, 10, 10, 11, 11
11, 6, 6, 6, 9
3, 9, 9, 6, 6
11, 5, 5, 3, 3
6, 6, 6, 9, 9
4, 11, 11, 5, 5
7, 7, 11, 11, 6
9, 9, 11, 11, 10
11, 11, 6, 6, 6
4, 4, 7, 7, 7
10, 1, 4, 4, 11
10, 10, 11, 11, 3
9, 6, 6, 10, 10
7, 7, 10, 10, 1
9, 11, 11, 10, 10
9, 11, 11, 10, 10
6, 9, 9, 10, 10
11, 5, 5, 8, 8
10, 10, 10, 11, 11
3, 9, 9, 6, 6
6, 6, 6, 9, 9
4, 4, 11, 11, 5
5, 8, 8, 10, 10
10, 10, 10, 11, 11
7, 7, 7, 11, 11
7, 7, 7, 11, 11
11, 11, 10, 10, 4
7, 10, 10, 1, 4
10, 4, 4, 9, 9
11, 11, 6, 6, 6
4, 4, 7, 7, 7
8, 8, 10, 10, 11
8, 8, 10, 10, 11
10, 11, 11, 3, 3
9, 9, 6, 6, 10
9, 9, 10, 10, 10
6, 10, 10, 4, 4
3, 3, 3, 7, 7
7, 7, 10, 10, 1
7, 7, 11, 11, 6
11, 10, 10, 4, 4
9, 9, 11, 11, 5
10, 10, 10, 11, 11
11, 5, 5, 3, 3
6, 6, 10, 10, 4
11, 11, 3, 3, 3
9, 6, 6, 10, 10
10, 1, 4, 4, 11
11, 3, 3, 3, 7
10, 11, 11, 5, 5
11, 6, 6, 6, 9
7, 9, 9, 11, 11
7, 7, 11, 11, 6
11, 11, 3, 3, 3
8, 8, 10, 10, 11
7, 9, 9, 11, 11
11, 11, 3, 3, 3
6, 6, 6, 9, 9
10, 10, 1, 4, 4
9, 6, 6, 10, 10
5, 5, 3, 3, 9
10, 1, 4, 4, 11
7, 10, 10, 1, 4
9, 9, 10, 10, 10
